	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
22	10	5	9	0.036	1	0.074565	0.4483	0.063641	0.20746	0.0015777	0.00037328	0.010666	0.19452	547.38	0.4438	0.062764	0.20742	43	98	121	114	135	123	124	105	80	43	14
27	10	5	10	0.036	1	0.0716888	0.3639	0.054541	0.14428	0.0026333	0.00069598	0.016952	0.12345	275.7	0.3487	0.055554	0.11457	64	141	180	134	131	115	96	78	40	15	6
32	10	5	11	0.036	1	0.0729319	0.258	0.041477	0.067015	0.0018421	0.00061386	0.0097987	0.054436	138.95	0.2578	0.040099	0.06608	170	165	222	159	98	83	60	24	13	5	1
37	10	5	12	0.036	1	0.0791957	0.1935	0.028937	0.043047	0.0019893	0.00074763	0.009844	0.030137	69.787	0.1784	0.023957	0.041691	219	254	222	132	87	46	26	8	3	3	0
42	10	10	6	0.036	1	0.0634579	0.9227	0.016251	2.7342	0.0027109	0.00049731	0.052934	2.6777	7439.5	0.9195	0.016927	2.6974	0	0	4	2	6	9	21	55	99	199	605
52	10	10	7	0.036	1	0.0593369	0.8678	0.027791	1.4039	0.0023028	0.00057338	0.025342	1.3753	3930.5	0.8646	0.030377	1.3977	0	1	5	8	14	34	53	78	155	207	445
62	10	10	8	0.036	1	0.0867421	0.7784	0.045359	0.73782	0.0025983	0.00085809	0.017376	0.71671	2035.4	0.7772	0.045406	0.73322	1	4	10	34	43	66	107	108	159	194	274
72	10	10	9	0.036	1	0.0743379	0.6558	0.061348	0.38349	0.0026399	0.00090792	0.012584	0.36711	1052.9	0.6595	0.057227	0.38477	7	20	40	62	85	124	130	128	131	142	131
82	10	10	10	0.036	1	0.0866416	0.5409	0.066564	0.20711	0.0028592	0.0012199	0.011118	0.19167	536.51	0.5464	0.060548	0.20673	29	41	82	95	139	115	127	129	112	83	48
92	10	10	11	0.036	1	0.0988824	0.4183	0.059655	0.13256	0.0041673	0.0018456	0.01445	0.11172	272.47	0.427	0.056447	0.11526	53	98	125	149	144	136	101	90	52	40	12
102	10	10	12	0.036	1	0.0975621	0.3279	0.045077	0.083764	0.0039563	0.0016612	0.011616	0.066206	137.5	0.3259	0.045144	0.079267	86	139	171	179	149	119	84	34	25	12	2
112	10	25	6	0.036	1	0.077142	0.9916	0.0013508	5.4858	0.0059687	0.0014195	0.13879	5.3388	14733.0	0.9923	0.0014922	5.4696	0	0	0	0	0	0	1	4	11	46	938
130	10	25	7	0.036	1	0.0699106	0.98	0.0037838	3.0645	0.0060142	0.001759	0.080495	2.9757	8229.5	0.978	0.0038398	3.0071	0	0	0	1	0	0	2	18	22	87	870
148	10	25	8	0.036	1	0.0836679	0.9419	0.013708	1.6432	0.0054554	0.0018702	0.038473	1.597	4541.2	0.9409	0.01329	1.6507	0	0	2	3	7	5	19	37	64	162	701
166	10	25	9	0.036	1	0.0970317	0.8959	0.024358	0.86542	0.0060242	0.0021448	0.022728	0.83416	2387.9	0.886	0.028172	0.87043	0	3	3	4	10	31	32	64	118	191	544
184	10	25	10	0.036	1	0.0972149	0.8	0.045245	0.47799	0.0070505	0.0034347	0.019116	0.44807	1248.5	0.8073	0.039997	0.46577	4	5	14	22	43	47	70	120	151	214	310
202	10	25	11	0.036	1	0.121961	0.6973	0.05734	0.26682	0.0076379	0.0042905	0.016336	0.23826	644.73	0.6927	0.060677	0.25753	4	15	31	58	67	77	126	146	157	155	164
220	10	25	12	0.036	1	0.111841	0.5744	0.061947	0.16592	0.010399	0.0054636	0.017134	0.13257	330.13	0.5646	0.063811	0.14562	15	39	59	95	106	134	135	143	128	87	59
238	10	50	6	0.036	1	0.0761797	0.9997	2.994e-05	8.0905	0.01437	0.0044906	0.24655	7.8242	22987.0	0.9998	1.998e-05	7.2427	0	0	0	0	0	0	0	0	0	3	997
256	10	50	7	0.036	1	0.0995074	0.9966	0.00042887	5.1457	0.015018	0.0056719	0.15924	4.9652	13663.0	0.9972	0.00039255	5.1147	0	0	0	0	0	0	0	0	5	24	971
274	10	50	8	0.036	1	0.0900638	0.9875	0.0029967	2.9064	0.011584	0.0075611	0.075186	2.8117	7822.7	0.9877	0.0024612	2.9064	0	0	0	2	1	0	0	8	14	53	922
292	10	50	9	0.036	1	0.0932904	0.9718	0.0061309	1.5581	0.011281	0.0049119	0.04374	1.4978	4269.6	0.9721	0.0059575	1.5894	0	0	1	1	1	2	6	16	37	105	831
310	10	50	10	0.036	1	0.118104	0.9318	0.014924	0.85224	0.012141	0.0062668	0.027184	0.80636	2291.2	0.93	0.016236	0.85141	0	0	3	2	3	14	20	41	83	187	647
328	10	50	11	0.036	1	0.13085	0.8601	0.030609	0.46539	0.012396	0.0096635	0.020909	0.42216	1206.2	0.8557	0.034842	0.46532	0	1	3	15	18	34	61	86	139	203	440
346	10	50	12	0.036	1	0.138323	0.7663	0.049264	0.28413	0.01626	0.012165	0.021302	0.23409	627.08	0.7614	0.052182	0.26783	4	4	25	30	38	67	98	127	160	195	252
