k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 12 0.036 10 1 3.75e-07 6.7982 0.9151 0.024787 0.35426 0 0.004448 0.021237 0.32835 908.77 58000 100 100 0.9143 0.02421 0.35569 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 5e-07 6.7982 0.9151 0.024787 0.35484 0 0.00444 0.021248 0.32893 908.77 58000 100 100 0.9143 0.02421 0.35705 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 7.5e-07 6.7982 0.9151 0.024787 0.35531 0 0.004412 0.021366 0.32931 908.77 58000 100 100 0.9143 0.02421 0.35705 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 1e-06 6.7982 0.9151 0.024787 0.35419 0 0.0043873 0.021261 0.32833 908.77 58000 100 100 0.9143 0.02421 0.35701 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 1.375e-06 6.7982 0.9151 0.024787 0.3532 0 0.0047692 0.021066 0.32715 908.77 58000 100 100 0.9143 0.02421 0.3558 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 1.75e-06 6.7982 0.9151 0.024787 0.35309 0 0.0047296 0.0212 0.32695 908.77 58000 100 100 0.9143 0.02421 0.35557 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 2.5e-06 6.7982 0.9151 0.024787 0.35629 0 0.0050539 0.021965 0.32906 908.77 58000 100 100 0.9143 0.02421 0.35778 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 3.75e-06 6.7982 0.9151 0.024787 0.35459 0 0.0044967 0.021316 0.32857 908.77 58000 100 100 0.9143 0.02421 0.35719 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 5e-06 6.7982 0.9151 0.024787 0.35593 0 0.0044194 0.021324 0.32997 908.77 58000 100 100 0.9143 0.02421 0.35683 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 7.5e-06 6.7982 0.9151 0.024787 0.35426 0 0.0043999 0.021465 0.32819 908.77 58000 100 100 0.9143 0.02421 0.35575 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 1e-05 6.7982 0.9151 0.024787 0.35371 0 0.0043886 0.02124 0.32787 908.77 58000 100 100 0.9143 0.02421 0.35669 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 1.375e-05 6.7982 0.9151 0.024787 0.35396 0 0.004379 0.021199 0.32817 908.77 58000 100 100 0.9143 0.02421 0.35808 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 1.75e-05 6.7982 0.9151 0.024787 0.3645 0 0.0044874 0.022 0.33779 908.77 58000 100 100 0.9143 0.02421 0.35715 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 2.5e-05 6.7982 0.9151 0.024787 0.35767 0 0.0044485 0.021617 0.33139 908.77 58000 100 100 0.9143 0.02421 0.36378 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 3.75e-05 6.7982 0.9151 0.024787 0.3563 0 0.0043844 0.023497 0.32821 908.77 58000 100 100 0.9143 0.02421 0.36824 2 2 7 5 8 19 32 46 71 169 639 
