k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 256 20 7.0778 0.006 0.0005697 0.04605 0.008 0.00074343 0.046294
10 256 25 7.0778 0.007 0.00065758 0.048217 0.01 0.00090909 0.048306
10 256 50 7.0778 0.016 0.0017616 0.057681 0.019 0.0015545 0.057717
10 256 75 7.0778 0.022 0.0025414 0.066494 0.025 0.002298 0.066737
10 256 100 7.0778 0.033 0.0036475 0.076776 0.032 0.0030061 0.076921
10 256 250 7.0778 0.063 0.0059909 0.13724 0.064 0.0059636 0.13492
10 256 500 7.0778 0.111 0.01311 0.24155 0.108 0.0094303 0.23869
10 512 1 7.0778 0.001 0.0001 0.059638 0 0 0.059354
10 512 2 7.0778 0.001 0.0001 0.059682 0 0 0.059765
10 512 3 7.0778 0.001 0.0001 0.060464 0.001 0.0001 0.060103
10 512 4 7.0778 0.001 0.0001 0.060161 0.002 0.00019798 0.06009
10 512 5 7.0778 0.001 0.0001 0.060345 0.002 0.00019798 0.060302
10 512 8 7.0778 0.002 0.00019798 0.061294 0.003 0.00029394 0.061389
10 512 10 7.0778 0.002 0.00019798 0.062613 0.003 0.00029394 0.06233
10 512 12 7.0778 0.002 0.00019798 0.062985 0.004 0.00038788 0.062813
10 512 20 7.0778 0.006 0.0005697 0.066594 0.008 0.00074343 0.06619
10 512 25 7.0778 0.007 0.00065758 0.068046 0.01 0.00090909 0.06815
10 512 50 7.0778 0.016 0.0017616 0.078562 0.019 0.0015545 0.077957
10 512 75 7.0778 0.022 0.0025414 0.086882 0.025 0.002298 0.087112
10 512 100 7.0778 0.033 0.0036475 0.09673 0.032 0.0030061 0.096673
10 512 250 7.0778 0.063 0.0059909 0.15686 0.064 0.0059636 0.15477
10 512 500 7.0778 0.111 0.01311 0.26179 0.108 0.0094303 0.25851
10 1024 1 7.0778 0.001 0.0001 0.084478 0 0 0.084245
10 1024 2 7.0778 0.001 0.0001 0.08465 0 0 0.084117
10 1024 3 7.0778 0.001 0.0001 0.084617 0.001 0.0001 0.084826
10 1024 4 7.0778 0.001 0.0001 0.086569 0.002 0.00019798 0.08568
10 1024 5 7.0778 0.001 0.0001 0.085052 0.002 0.00019798 0.08499
10 1024 8 7.0778 0.002 0.00019798 0.086136 0.003 0.00029394 0.086378
10 1024 10 7.0778 0.002 0.00019798 0.088752 0.003 0.00029394 0.087709
10 1024 12 7.0778 0.002 0.00019798 0.087501 0.004 0.00038788 0.087628
10 1024 20 7.0778 0.006 0.0005697 0.091067 0.008 0.00074343 0.091027
10 1024 25 7.0778 0.007 0.00065758 0.093027 0.01 0.00090909 0.092946
10 1024 50 7.0778 0.016 0.0017616 0.10312 0.019 0.0015545 0.10474
10 1024 75 7.0778 0.022 0.0025414 0.11194 0.025 0.002298 0.1127
10 1024 100 7.0778 0.033 0.0036475 0.12175 0.032 0.0030061 0.12202
10 1024 250 7.0778 0.063 0.0059909 0.18217 0.064 0.0059636 0.18023
10 1024 500 7.0778 0.111 0.01311 0.28943 0.108 0.0094303 0.28523
10 2048 1 7.0778 0.001 0.0001 0.096525 0 0 0.096983
10 2048 2 7.0778 0.001 0.0001 0.096697 0 0 0.096541
10 2048 3 7.0778 0.001 0.0001 0.097212 0.001 0.0001 0.096983
10 2048 4 7.0778 0.001 0.0001 0.097086 0.002 0.00019798 0.096946
10 2048 5 7.0778 0.001 0.0001 0.097473 0.002 0.00019798 0.097362
10 2048 8 7.0778 0.002 0.00019798 0.10028 0.003 0.00029394 0.098667
10 2048 10 7.0778 0.002 0.00019798 0.099066 0.003 0.00029394 0.099299
10 2048 12 7.0778 0.002 0.00019798 0.099646 0.004 0.00038788 0.099871
10 2048 20 7.0778 0.006 0.0005697 0.1021 0.008 0.00074343 0.1029
10 2048 25 7.0778 0.007 0.00065758 0.10512 0.01 0.00090909 0.10516
10 2048 50 7.0778 0.016 0.0017616 0.11452 0.019 0.0015545 0.11465
10 2048 75 7.0778 0.022 0.0025414 0.12403 0.025 0.002298 0.12425
10 2048 100 7.0778 0.033 0.0036475 0.13431 0.032 0.0030061 0.13452
10 2048 250 7.0778 0.063 0.0059909 0.19492 0.064 0.0059636 0.19249
10 2048 500 7.0778 0.111 0.01311 0.30017 0.108 0.0094303 0.29702
10 4096 1 7.0778 0.001 0.0001 0.10469 0 0 0.1044
10 4096 2 7.0778 0.001 0.0001 0.10477 0 0 0.10439
10 4096 3 7.0778 0.001 0.0001 0.10521 0.001 0.0001 0.10479
10 4096 4 7.0778 0.001 0.0001 0.10521 0.002 0.00019798 0.10566
10 4096 5 7.0778 0.001 0.0001 0.10599 0.002 0.00019798 0.1055
10 4096 8 7.0778 0.002 0.00019798 0.10746 0.003 0.00029394 0.10875
