k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 13 0.088 25 1 0.00375 5.619 0.0651 0.027439 0.027685 0 0.00075995 0.020613 0.0060051 72.901 100000 100 100 0.065 0.029885 0.027058
10 1 13 0.088 25 1 0.005 5.619 0.0478 0.019174 0.025312 0 0.00055885 0.020627 0.0038168 40.957 100000 100 100 0.0489 0.023242 0.024176
10 1 13 0.088 25 1 0.0075 5.619 0.0252 0.0099749 0.022424 0 0.0004192 0.020236 0.0014702 9.502 100000 100 100 0.0284 0.013847 0.021797
10 1 13 0.088 25 1 0.01 5.619 0.0179 0.0065762 0.021878 0 0.00041153 0.020313 0.00086038 4.205 100000 100 100 0.0188 0.0090756 0.021073
10 1 16 0.088 25 1 1e-07 19.4775 0.0499 0.021241 0.027295 0 0.0010848 0.019936 0.0060855 41.255 100000 100 100 0.0574 0.026251 0.025073
10 1 16 0.088 25 1 1.375e-07 19.478 0.0499 0.021241 0.025696 0 0.00057516 0.020523 0.0044184 41.255 100000 100 100 0.0574 0.026251 0.024466
10 1 16 0.088 25 1 1.75e-07 19.478 0.0499 0.021241 0.025386 0 0.00056336 0.020399 0.0042424 41.255 100000 100 100 0.0574 0.026251 0.024384
10 1 16 0.088 25 1 2.5e-07 19.478 0.0499 0.021241 0.025184 0 0.00056514 0.020185 0.0042501 41.255 100000 100 100 0.0574 0.026251 0.023825
10 1 16 0.088 25 1 3.75e-07 19.478 0.0499 0.021241 0.025477 0 0.00054739 0.020472 0.0042737 41.255 100000 100 100 0.0574 0.026251 0.024429
10 1 16 0.088 25 1 5e-07 19.478 0.0499 0.021241 0.025409 0 0.00055332 0.020468 0.0042081 41.255 100000 100 100 0.0574 0.026251 0.024489
10 1 16 0.088 25 1 7.5e-07 19.478 0.0499 0.021241 0.025831 0 0.00056229 0.020756 0.0043087 41.255 100000 100 100 0.0574 0.026251 0.02458
