k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 16 0.088 25 1 1.75e-06 18.894 0.0566 0.025702 0.025498 0 0.00053105 0.020458 0.0042827 44.821 100000 100 100 0.06 0.028849 0.024368
10 1 16 0.088 25 1 2.5e-06 18.894 0.0566 0.025702 0.025515 0 0.00052925 0.020453 0.0043056 44.821 100000 100 100 0.06 0.028849 0.023983
10 1 16 0.088 25 1 3.75e-06 18.894 0.0566 0.025702 0.025485 0 0.00053233 0.020442 0.0042818 44.821 100000 100 100 0.06 0.028849 0.024684
10 1 16 0.088 25 1 5e-06 18.894 0.0566 0.025702 0.025381 0 0.00053312 0.020343 0.0042819 44.821 100000 100 100 0.06 0.028849 0.024485
10 1 16 0.088 25 1 7.5e-06 18.894 0.0566 0.025702 0.025563 0 0.00053417 0.020497 0.0043042 44.821 100000 100 100 0.06 0.028849 0.024393
10 1 16 0.088 25 1 1e-05 18.894 0.0566 0.025702 0.025244 0 0.00053216 0.020218 0.0042705 44.821 100000 100 100 0.06 0.028849 0.023652
10 1 16 0.088 25 1 1.375e-05 18.894 0.0566 0.025702 0.025431 0 0.00053452 0.020386 0.0042776 44.821 100000 100 100 0.06 0.028849 0.024371
10 1 16 0.088 25 1 1.75e-05 18.894 0.0566 0.025702 0.025251 0 0.00053053 0.020222 0.0042739 44.821 100000 100 100 0.06 0.028849 0.023878
10 1 16 0.088 25 1 2.5e-05 18.894 0.0566 0.025702 0.025487 0 0.00053643 0.020441 0.0042842 44.821 100000 100 100 0.06 0.028849 0.024167
10 1 16 0.088 25 1 3.75e-05 18.894 0.0566 0.025702 0.025561 0 0.00052776 0.020482 0.0043261 44.821 100000 100 100 0.06 0.028849 0.024242
10 1 16 0.088 25 1 5e-05 18.894 0.0566 0.025702 0.025543 0 0.00052993 0.020503 0.0042857 44.821 100000 100 100 0.06 0.028849 0.024385
10 1 16 0.088 25 1 7.5e-05 18.894 0.0566 0.025702 0.025393 0 0.0005318 0.020382 0.0042568 44.821 100000 100 100 0.06 0.028849 0.023934
10 1 16 0.088 25 1 0.0001 18.894 0.0566 0.025702 0.025517 0 0.00053262 0.02047 0.0042877 44.821 100000 100 100 0.06 0.028849 0.024292
10 1 16 0.088 25 1 0.0001375 18.894 0.0566 0.025702 0.02522 0 0.00052581 0.020182 0.0042861 44.821 100000 100 100 0.06 0.028849 0.023849
10 1 16 0.088 25 1 0.000175 18.894 0.0566 0.025702 0.025463 0 0.00053026 0.020408 0.0042979 44.821 100000 100 100 0.06 0.028849 0.024406
10 1 16 0.088 25 1 0.00025 18.894 0.0566 0.025702 0.025332 0 0.00053398 0.020279 0.004294 44.821 100000 100 100 0.06 0.028849 0.023732
10 1 16 0.088 25 1 0.000375 18.894 0.0566 0.025702 0.025495 0 0.00053376 0.020445 0.0042888 44.821 100000 100 100 0.06 0.028849 0.024229
10 1 16 0.088 25 1 0.0005 18.894 0.0566 0.025702 0.025383 0 0.00053288 0.020349 0.004275 44.821 100000 100 100 0.06 0.028849 0.023902
10 1 16 0.088 25 1 0.00075 18.894 0.0566 0.025702 0.025553 0 0.0005306 0.020513 0.0042848 44.821 100000 100 100 0.06 0.028849 0.024266
10 1 16 0.088 25 1 0.001 18.894 0.0566 0.025702 0.025216 0 0.00052326 0.020207 0.0042605 44.821 100000 100 100 0.06 0.028849 0.024229
10 1 16 0.088 25 1 0.001375 18.894 0.0566 0.025702 0.02599 0 0.00054036 0.020829 0.0043849 44.821 100000 100 100 0.06 0.028849 0.024374
10 1 16 0.088 25 1 0.00175 18.894 0.0566 0.025702 0.025675 0 0.0005325 0.0206 0.0043141 44.821 100000 100 100 0.06 0.028849 0.02397
