	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
166	10	25	9	0.0104	1	0.732895	0.4788	0.064595	18.396	0.034831	0.004084	0.10807	18.248	4496.8	0.4776	0.067346	17.69	21	71	111	162	114	134	137	86	62	57	45
184	10	25	10	0.0104	1	0.532767	0.3589	0.065767	8.8916	0.029882	0.0051323	0.082801	8.7729	2299.1	0.3541	0.064287	8.8964	80	162	175	132	129	93	78	46	55	30	20
202	10	25	11	0.0104	1	0.399799	0.2545	0.04985	4.9702	0.029551	0.0075153	0.056093	4.8766	1167.5	0.2539	0.046952	4.8225	165	224	204	148	85	62	41	28	17	19	7
220	10	25	12	0.0104	1	0.814633	0.1825	0.034238	2.392	0.022808	0.009296	0.0394	2.3201	588.66	0.173	0.030802	2.3144	268	270	191	103	78	38	26	11	8	5	2
238	10	50	6	0.0104	1	0.690493	0.9784	0.0034369	177.41	0.044409	0.0034583	0.59801	176.76	45479.0	0.978	0.002979	176.09	0	0	0	0	0	1	3	5	44	96	851
256	10	50	7	0.0104	1	0.741604	0.9228	0.013394	98.824	0.038365	0.005229	0.35193	98.427	27988.0	0.9166	0.01526	98.008	0	0	0	0	2	9	23	74	101	199	592
274	10	50	8	0.0104	1	0.58926	0.8306	0.033537	59.867	0.044901	0.0077791	0.23651	59.577	15612.0	0.8293	0.035487	64.605	0	3	2	11	21	55	87	113	142	202	364
292	10	50	9	0.0104	1	0.821884	0.7021	0.05488	33.578	0.054816	0.0096046	0.16824	33.345	8454.7	0.6901	0.060773	33.076	1	7	24	44	99	108	118	128	139	138	194
310	10	50	10	0.0104	1	1.02754	0.5463	0.071798	16.87	0.088952	0.014022	0.122	16.645	4442.3	0.5302	0.068456	14.664	14	44	85	139	125	112	115	109	85	81	91
328	10	50	11	0.0104	1	0.964563	0.4057	0.069967	9.4507	0.062407	0.018545	0.10968	9.2593	2280.7	0.4036	0.065633	9.1068	55	111	169	167	109	107	86	70	42	46	38
346	10	50	12	0.0104	1	1.15227	0.2952	0.056814	4.6084	0.050874	0.02242	0.073613	4.4609	1160.7	0.2853	0.054629	4.5712	130	215	170	141	91	98	56	43	30	17	9
364	10	75	6	0.0104	1	1.30846	0.9931	0.00078317	221.6	0.057015	0.0048426	0.83262	220.7	56952.0	0.9929	0.00088047	220.5	0	0	0	0	0	0	0	0	7	55	938
382	10	75	7	0.0104	1	1.53062	0.9662	0.0056432	143.59	0.056999	0.008169	0.5198	143.0	37225.0	0.9629	0.0063199	143.48	0	0	0	0	1	2	5	18	51	146	777
400	10	75	8	0.0104	1	1.29294	0.9013	0.020969	85.149	0.069752	0.011147	0.32267	84.744	21786.0	0.8993	0.019669	84.362	0	0	2	5	6	21	42	76	100	199	549
418	10	75	9	0.0104	1	1.20663	0.7983	0.040688	49.799	0.067495	0.016461	0.23509	49.478	12077.0	0.7887	0.040062	49.085	0	1	8	20	46	63	91	120	152	185	314
436	10	75	10	0.0104	1	1.78153	0.6653	0.059706	23.642	0.077469	0.026838	0.18437	23.352	6433.1	0.6516	0.063221	27.381	2	16	35	59	103	115	140	120	130	117	163
454	10	75	11	0.0104	1	1.48224	0.5325	0.072666	13.688	0.086899	0.032642	0.14351	13.423	3343.4	0.5233	0.072279	13.429	17	45	112	121	128	125	97	105	91	79	80
472	10	75	12	0.0104	1	1.91994	0.3966	0.067856	6.9948	0.085679	0.036327	0.11453	6.7574	1717.0	0.3903	0.06456	6.781	61	121	159	154	132	103	91	65	39	41	34
490	10	100	6	0.0104	1	1.9602	0.9978	0.0002354	251.46	0.071171	0.0064073	1.0377	250.34	64754.0	0.9981	0.0002066	249.95	0	0	0	0	0	0	0	0	1	20	979
508	10	100	7	0.0104	1	1.64735	0.9851	0.0024104	169.34	0.069946	0.011842	0.64818	168.6	44180.0	0.9846	0.0020649	168.84	0	0	0	0	0	1	1	7	20	79	892
526	10	100	8	0.0104	1	1.52296	0.9433	0.009865	107.15	0.08959	0.016573	0.40244	106.64	27129.0	0.9347	0.012839	105.53	0	0	0	0	0	10	11	42	78	191	668
