k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 100 100000 70.642 0.9734 0.0043168 27.513 0.9744 0.0046092 27.333 0 0 0 0 0 1 3 16 42 117 821 
10 100 200000 70.642 0.9823 0.0028395 39.273 0.9833 0.0029541 38.177 0 0 0 0 0 1 1 11 20 95 872 
10 100 400000 70.642 0.9919 0.0011656 57.41 0.9927 0.0012179 57.3 0 0 0 0 0 0 0 4 9 51 936 
10 200 25 141.794 0.801 0.035434 5.259 0.8088 0.033576 5.2877 0 1 5 15 38 59 92 127 171 222 270 
10 200 50 141.79 0.801 0.035434 5.311 0.8088 0.033576 5.2887 0 1 5 15 38 59 92 127 171 222 270 
10 200 100 141.79 0.801 0.035434 5.2926 0.8088 0.033576 5.2775 0 1 5 15 38 59 92 127 171 222 270 
10 200 200 141.79 0.801 0.035434 5.2983 0.8088 0.033576 5.2819 0 1 5 15 38 59 92 127 171 222 270 
10 200 400 141.79 0.801 0.035434 5.2808 0.8088 0.033576 5.3101 0 1 5 15 38 59 92 127 171 222 270 
10 200 1000 141.79 0.801 0.035434 5.2984 0.8088 0.033576 5.2831 0 1 5 15 38 59 92 127 171 222 270 
10 200 2000 141.79 0.8024 0.03527 5.3328 0.8099 0.033445 5.3221 0 1 5 15 37 59 89 128 172 221 273 
10 200 4000 141.79 0.867 0.023254 7.4197 0.8719 0.023884 7.3611 0 0 1 4 16 21 59 103 156 236 404 
10 200 10000 141.79 0.9107 0.015291 9.9209 0.9148 0.014896 9.8759 0 0 0 1 8 11 26 61 126 244 523 
10 200 20000 141.79 0.9404 0.010118 13.068 0.9414 0.0098759 12.982 0 0 0 0 5 6 11 32 88 220 638 
10 200 40000 141.79 0.9584 0.0066561 17.172 0.9593 0.0066602 17.042 0 0 0 0 1 1 9 23 63 174 729 
10 200 100000 141.79 0.9727 0.0043691 24.862 0.9741 0.0043836 24.578 0 0 0 0 0 1 4 15 40 127 813 
