k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 128 20 13.031 0.6168 0.054312 0.70329 0.6141 0.04876 0.66096 5 18 41 71 114 155 136 137 140 101 82 
10 128 25 13.031 0.6644 0.051844 0.70635 0.6602 0.045662 0.72144 3 13 26 54 90 128 138 159 143 128 118 
10 128 50 13.031 0.7915 0.037035 0.92662 0.7892 0.033136 0.92516 0 1 6 14 45 57 106 148 158 191 274 
10 128 75 13.031 0.854 0.02611 1.1516 0.851 0.024323 1.2348 0 0 2 2 15 40 68 122 143 216 392 
10 128 100 13.031 0.8903 0.018735 1.375 0.8898 0.017834 1.3736 0 0 0 2 7 15 46 92 140 226 472 
10 128 250 13.031 0.9654 0.0049678 2.6573 0.9669 0.0043788 2.6792 0 0 0 0 0 1 5 15 50 176 753 
10 128 500 13.031 0.9856 0.0016943 4.9259 0.9868 0.0015673 4.9095 0 0 0 0 0 0 0 3 14 107 876 
10 256 1 13.031 0.1374 0.017859 0.61019 0.128 0.015592 0.62087 298 329 185 120 41 17 6 2 2 0 0 
10 256 2 13.031 0.2066 0.029526 0.62088 0.1987 0.025534 0.62127 180 268 209 155 99 48 18 17 3 2 1 
10 256 3 13.031 0.2613 0.03801 0.63043 0.2532 0.033683 0.64792 126 203 207 184 111 84 45 22 10 4 4 
10 256 4 13.031 0.3028 0.041834 0.66385 0.3011 0.038027 0.64915 90 155 204 189 142 101 58 30 19 5 7 
10 256 5 13.031 0.3397 0.046 0.68694 0.34 0.042843 0.68632 69 132 176 177 167 124 66 42 27 12 8 
10 256 8 13.031 0.4248 0.051436 0.68136 0.4292 0.051078 0.67936 32 77 126 164 176 142 121 77 35 32 18 
10 256 10 13.031 0.4676 0.052823 0.69525 0.4762 0.051765 0.69351 21 54 108 140 168 173 114 102 56 37 27 
10 256 12 13.031 0.5079 0.05262 0.75311 0.513 0.051943 0.75161 13 40 78 125 166 176 130 110 82 42 38 
10 256 20 13.031 0.6168 0.054312 0.78429 0.6141 0.04876 0.78391 5 18 41 71 114 155 136 137 140 101 82 
10 256 25 13.031 0.6645 0.051882 0.8253 0.6602 0.045662 0.82805 3 13 26 54 90 128 138 159 142 129 118 
10 256 50 13.031 0.7917 0.036998 1.0515 0.7894 0.033021 1.0413 0 1 6 14 44 58 106 148 158 190 275 
10 256 75 13.031 0.855 0.025881 1.2601 0.8512 0.024283 1.257 0 0 2 2 14 40 68 119 146 215 394 
10 256 100 13.031 0.8919 0.018523 1.4934 0.89 0.017898 1.4762 0 0 0 2 7 15 44 89 141 225 477 
