k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 14 0.036 10 1 3.75e-07 11.351 0.6786 0.083506 0.072885 0 0.0030334 0.012325 0.057244 140.46 58000 100 100 0.6808 0.075167 0.073126 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 5e-07 11.351 0.6786 0.083506 0.072961 0 0.0030134 0.012317 0.057349 140.46 58000 100 100 0.6808 0.075167 0.073289 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 7.5e-07 11.351 0.6786 0.083506 0.072752 0 0.003184 0.012248 0.05703 140.46 58000 100 100 0.6808 0.075167 0.073098 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 1e-06 11.351 0.6786 0.083506 0.072694 0 0.0031592 0.012225 0.057016 140.46 58000 100 100 0.6808 0.075167 0.073048 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 1.375e-06 11.351 0.6786 0.083506 0.072943 0 0.0030416 0.012236 0.057364 140.46 58000 100 100 0.6808 0.075167 0.073279 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 1.75e-06 11.351 0.6786 0.083506 0.072935 0 0.0030355 0.012269 0.057332 140.46 58000 100 100 0.6808 0.075167 0.07321 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 2.5e-06 11.351 0.6786 0.083506 0.072942 0 0.0030313 0.012302 0.057324 140.46 58000 100 100 0.6808 0.075167 0.0732 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 3.75e-06 11.351 0.6786 0.083506 0.072756 0 0.0031803 0.012166 0.057114 140.46 58000 100 100 0.6808 0.075167 0.073126 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 5e-06 11.351 0.6786 0.083506 0.07293 0 0.0031945 0.012316 0.05713 140.46 58000 100 100 0.6808 0.075167 0.073131 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 7.5e-06 11.351 0.6786 0.083506 0.072943 0 0.00302 0.012257 0.057377 140.46 58000 100 100 0.6808 0.075167 0.073318 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 1e-05 11.351 0.6786 0.083506 0.072933 0 0.0030583 0.012288 0.057296 140.46 58000 100 100 0.6808 0.075167 0.073292 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 1.375e-05 11.351 0.6786 0.083506 0.072904 0 0.003048 0.012281 0.057288 140.46 58000 100 100 0.6808 0.075167 0.07322 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 1.75e-05 11.351 0.6786 0.083506 0.073064 0 0.0030436 0.012369 0.057356 140.46 58000 100 100 0.6808 0.075167 0.073233 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 2.5e-05 11.351 0.6786 0.083506 0.072771 0 0.0031479 0.012276 0.057061 140.46 58000 100 100 0.6808 0.075167 0.073055 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 3.75e-05 11.351 0.6786 0.083506 0.072938 0 0.0030404 0.01223 0.057381 140.46 58000 100 100 0.6808 0.075167 0.073252 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 5e-05 11.351 0.6786 0.083506 0.072759 0 0.003197 0.012264 0.056997 140.46 58000 100 100 0.6808 0.075167 0.073154 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 7.5e-05 11.351 0.6786 0.083506 0.072972 0 0.0030341 0.012316 0.057329 140.46 58000 100 100 0.6808 0.075167 0.077798 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 0.0001 11.351 0.6786 0.083506 0.073431 0 0.0032048 0.012656 0.05727 140.46 58000 100 100 0.6808 0.075167 0.073283 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 0.0001375 11.351 0.6786 0.083506 0.072817 0 0.0029175 0.012393 0.05722 140.46 58000 100 100 0.6808 0.075167 0.07331 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 0.000175 11.351 0.6786 0.083506 0.072707 0 0.0029444 0.01234 0.057135 140.46 58000 100 100 0.6808 0.075167 0.072815 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 0.00025 11.351 0.6786 0.083506 0.072724 0 0.0028823 0.012244 0.057314 140.46 58000 100 100 0.6808 0.075167 0.073058 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 0.000375 11.351 0.6786 0.083506 0.072577 0 0.003001 0.012231 0.057053 140.46 58000 100 100 0.6808 0.075167 0.0729 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 0.0005 11.351 0.6786 0.083506 0.072775 0 0.0028994 0.012419 0.057166 140.46 58000 100 100 0.6808 0.075167 0.073 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 0.00075 11.351 0.6784 0.083457 0.072423 0 0.0028653 0.012242 0.057025 139.95 58000 100 100 0.6807 0.075113 0.073002 31 37 39 54 70 81 80 108 115 184 201 
10 5 14 0.036 10 1 0.001 11.351 0.678 0.083459 0.07238 0 0.0028919 0.012432 0.056773 139.52 58000 100 100 0.6801 0.074969 0.072984 31 37 39 54 71 80 82 106 115 185 200 
10 5 14 0.036 10 1 0.001375 11.351 0.6759 0.082912 0.071471 0 0.0028716 0.012306 0.055996 137.23 58000 100 100 0.6759 0.074924 0.071443 31 37 39 56 70 79 82 109 119 186 192 
10 5 14 0.036 10 1 0.00175 11.351 0.6698 0.08229 0.071718 0 0.0028943 0.014238 0.054292 132.42 58000 100 100 0.6708 0.074482 0.074988 31 38 40 57 70 80 88 109 126 180 181 
10 5 14 0.036 10 1 0.0025 11.351 0.6533 0.08109 0.067512 0 0.0028713 0.01368 0.05066 122.92 58000 100 100 0.6548 0.073731 0.065572 33 38 43 64 70 79 100 116 138 164 155 
10 5 14 0.036 10 1 0.00375 11.351 0.6093 0.082046 0.056945 0 0.0027394 0.012112 0.041802 99.058 58000 100 100 0.6082 0.076049 0.056594 38 45 60 71 81 91 112 113 140 137 112 
10 5 14 0.036 10 1 0.005 11.351 0.5728 0.082463 0.050854 0 0.0026177 0.012126 0.035818 83.651 58000 100 100 0.5693 0.079367 0.050571 45 53 70 78 90 110 113 106 131 117 87 
10 5 14 0.036 10 1 0.0075 11.351 0.4602 0.089666 0.033985 0 0.0023684 0.012199 0.019125 41.849 58000 100 100 0.4576 0.082945 0.033503 100 98 102 95 97 108 94 92 95 71 48 
10 5 14 0.036 10 1 0.01 11.351 0.416 0.08553 0.03108 0 0.0022627 0.012066 0.016464 35.268 58000 100 100 0.4073 0.078075 0.030529 123 105 129 99 100 102 93 81 78 59 31 
10 10 12 0.036 10 1 1e-07 7.08624 0.948 0.01421 0.28368 0 0.0055813 0.022974 0.25492 716.19 58000 100 100 0.9454 0.014593 0.27581 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 1.375e-07 7.0862 0.948 0.01421 0.27852 0 0.0043317 0.020771 0.25313 716.19 58000 100 100 0.9454 0.014593 0.27594 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 1.75e-07 7.0862 0.948 0.01421 0.2786 0 0.0043471 0.020827 0.25313 716.19 58000 100 100 0.9454 0.014593 0.27573 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 2.5e-07 7.0862 0.948 0.01421 0.27808 0 0.0044574 0.020812 0.25252 716.19 58000 100 100 0.9454 0.014593 0.27507 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 3.75e-07 7.0862 0.948 0.01421 0.27909 0 0.0043396 0.020913 0.25355 716.19 58000 100 100 0.9454 0.014593 0.27596 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 5e-07 7.0862 0.948 0.01421 0.27856 0 0.0043092 0.020882 0.25307 716.19 58000 100 100 0.9454 0.014593 0.27593 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 7.5e-07 7.0862 0.948 0.01421 0.27843 0 0.0043036 0.020779 0.25306 716.19 58000 100 100 0.9454 0.014593 0.27563 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 1e-06 7.0862 0.948 0.01421 0.27762 0 0.0045291 0.020898 0.2519 716.19 58000 100 100 0.9454 0.014593 0.27479 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 1.375e-06 7.0862 0.948 0.01421 0.2775 0 0.0045447 0.020844 0.25183 716.19 58000 100 100 0.9454 0.014593 0.27477 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 1.75e-06 7.0862 0.948 0.01421 0.27861 0 0.0043137 0.020813 0.25319 716.19 58000 100 100 0.9454 0.014593 0.27564 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 2.5e-06 7.0862 0.948 0.01421 0.27878 0 0.0044191 0.020877 0.2532 716.19 58000 100 100 0.9454 0.014593 0.27478 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 3.75e-06 7.0862 0.948 0.01421 0.27855 0 0.0043117 0.020736 0.25322 716.19 58000 100 100 0.9454 0.014593 0.2758 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 5e-06 7.0862 0.948 0.01421 0.27864 0 0.0043224 0.020704 0.25332 716.19 58000 100 100 0.9454 0.014593 0.27593 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 7.5e-06 7.0862 0.948 0.01421 0.27877 0 0.0043324 0.020933 0.25321 716.19 58000 100 100 0.9454 0.014593 0.27842 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 1e-05 7.0862 0.948 0.01421 0.27976 0 0.0052367 0.021163 0.25307 716.19 58000 100 100 0.9454 0.014593 0.27656 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 1.375e-05 7.0862 0.948 0.01421 0.28445 0 0.004272 0.02498 0.2549 716.19 58000 100 100 0.9454 0.014593 0.28227 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 1.75e-05 7.0862 0.948 0.01421 0.28452 0 0.0043107 0.025177 0.25473 716.19 58000 100 100 0.9454 0.014593 0.2815 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 2.5e-05 7.0862 0.948 0.01421 0.27785 0 0.0044474 0.020705 0.25241 716.19 58000 100 100 0.9454 0.014593 0.27472 1 2 3 3 2 5 19 23 58 149 735 
10 10 12 0.036 10 1 3.75e-05 7.0862 0.948 0.01421 0.27741 0 0.0045387 0.020687 0.25189 716.19 58000 100 100 0.9454 0.014593 0.27499 1 2 3 3 2 5 19 23 58 149 735 
