k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 4096 12 6.8663 0.009 0.0012313 0.108 0.006 0.0005697 0.10787
10 4096 20 6.8663 0.014 0.0016202 0.11134 0.007 0.00065758 0.1112
10 4096 25 6.8663 0.015 0.0016919 0.11298 0.011 0.00098889 0.1135
10 4096 50 6.8663 0.019 0.0021606 0.12301 0.019 0.0017566 0.12301
10 4096 75 6.8663 0.021 0.0022818 0.1335 0.025 0.002096 0.13224
10 4096 100 6.8663 0.024 0.0026505 0.14274 0.026 0.0023475 0.1429
10 4096 250 6.8663 0.048 0.0039354 0.20508 0.052 0.0051475 0.2047
10 4096 500 6.8663 0.08 0.0060606 0.3141 0.094 0.0084485 0.31469
10 8192 1 6.8663 0.003 0.00049596 0.11704 0.002 0.00019798 0.1172
10 8192 2 6.8663 0.004 0.0005899 0.11701 0.002 0.00019798 0.11699
10 8192 3 6.8663 0.004 0.0005899 0.11775 0.002 0.00019798 0.11786
10 8192 4 6.8663 0.004 0.0005899 0.11777 0.003 0.00029394 0.11773
10 8192 5 6.8663 0.004 0.0005899 0.11866 0.003 0.00029394 0.11865
10 8192 8 6.8663 0.005 0.00068182 0.12081 0.005 0.0004798 0.11988
10 8192 10 6.8663 0.008 0.0011475 0.12099 0.005 0.0004798 0.12057
10 8192 12 6.8663 0.009 0.0012313 0.12344 0.006 0.0005697 0.12267
10 8192 20 6.8663 0.014 0.0016202 0.12554 0.007 0.00065758 0.12442
10 8192 25 6.8663 0.015 0.0016919 0.12591 0.011 0.00098889 0.12599
10 8192 50 6.8663 0.019 0.0021606 0.13587 0.019 0.0017566 0.13579
10 8192 75 6.8663 0.021 0.0022818 0.14498 0.025 0.002096 0.14512
10 8192 100 6.8663 0.024 0.0026505 0.15596 0.026 0.0023475 0.15577
10 8192 250 6.8663 0.048 0.0039354 0.21724 0.052 0.0051475 0.21888
10 8192 500 6.8663 0.08 0.0060606 0.32874 0.094 0.0084485 0.32678
