k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time
10 25 8 0.036 20 0.011808 0 0 0.0076636 0.0043033 0.00064368 0.002446 2.9785e-05 0 0 0 0.0075651
10 25 9 0.036 1 0.0125633 0.8177 0.042319 0.055444 0.0055153 0.0015566 0.0034648 0.044631 327.53 0.8117 0.042436 0.054217
10 25 9 0.036 2 0.012563 0.6002 0.1009 0.017277 0.0054152 0.0014122 0.0033127 0.0067771 38.801 0.589 0.099398 0.016498
10 25 9 0.036 3 0.012563 0.4171 0.10702 0.012231 0.0049745 0.0012401 0.0028113 0.0028604 12.769 0.4145 0.10707 0.011705
10 25 9 0.036 4 0.012563 0.2779 0.079361 0.010657 0.0049549 0.0011404 0.0026161 0.0016182 5.775 0.2782 0.077022 0.010277
10 25 9 0.036 5 0.012563 0.1827 0.04926 0.0098706 0.0049656 0.0011053 0.0025015 0.00099539 2.858 0.1753 0.046867 0.0094998
10 25 9 0.036 6 0.012563 0.1105 0.026666 0.0093807 0.0049545 0.0010943 0.0023904 0.00065836 1.453 0.1053 0.025367 0.0090866
10 25 9 0.036 7 0.012563 0.0631 0.012401 0.0090563 0.0049464 0.0010617 0.0023267 0.00044549 0.739 0.0583 0.011603 0.0087596
10 25 9 0.036 8 0.012563 0.0357 0.0058814 0.0089118 0.004987 0.001032 0.0023162 0.00031372 0.386 0.0311 0.005188 0.0085893
10 25 9 0.036 9 0.012563 0.0166 0.0020465 0.0087139 0.0049702 0.0010256 0.002287 0.00018307 0.171 0.0171 0.0025201 0.0084929
10 25 9 0.036 10 0.012563 0.0084 0.00091035 0.0084885 0.0049637 0.0010194 0.0021711 0.00012043 0.086 0.0075 0.00093468 0.0084537
10 25 9 0.036 11 0.012563 0.0043 0.00045196 0.0085703 0.0049512 0.0010077 0.0022878 8.0952e-05 0.044 0.0036 0.00044749 0.0083502
10 25 9 0.036 12 0.012563 0.0021 0.0002058 0.0085243 0.0049438 0.0010343 0.0022468 5.6478e-05 0.021 0.0014 0.0001582 0.008365
10 25 9 0.036 13 0.012563 0.0007 6.958e-05 0.0087044 0.0050473 0.0010596 0.0022966 4.0944e-05 0.007 0.0006 7.972e-05 0.0082529
10 25 9 0.036 14 0.012563 0.0005 4.98e-05 0.0084987 0.0049574 0.0010326 0.0022256 4.0956e-05 0.005 0.0002 1.998e-05 0.0082903
